"number";"name";"description";"restriction";"fonction"
15608;"HYDROLYZED MYRTUS";"Hydrolyzed Myrtus Communis Leaf Extract is the hydrolysate of Myrtus Communis Leaf Extract derived by acid, enzyme or other method of hydrolysis";"";"SKIN PROTECTING"
7603;"HYDROLYZED MYTILUS";"Hydrolyzed Mytilus Edulis Byssus is an hydrolysate of the byssus of the common mussel, Mytilus edulis derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
7604;"HYDROLYZED NETTLE";"Hydrolyzed Nettle Leaf Extract is the hydrolysate of Urtica Dioica Leaf Extract derived by acid, enzyme or other method of hydrolysis";"";"HAIR CONDITIONING, HUMECTANT"
25150;"HYDROLYZED NYMPHAEA";"Hydrolyzed Nymphaea Tetragona Extract is the hydrolysate of an extract of Nymphaea tetragona derived by acid, enzyme or other method of hydrolysis, Nymphaeaceae.";"";"ANTIOXIDANT, BLEACHING, SKIN CONDITIONING"
1448;"HYDROLYZED OAT";"Hydrolyzates, oat flour";"";"HAIR CONDITIONING, SKIN CONDITIONING"
12193;"HYDROLYZED OATS";"Oats, hydrolyzed";"";"ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING"
17016;"HYDROLYZED OLIVE";"Hydrolyzed Olive Fruit is the hydrolysate of Olea Europaea (Olive) Fruit derived by acid, enzyme or other method of hydrolysis";"";"ANTIOXIDANT, EMOLLIENT, SKIN PROTECTING, UV ABSORBER"
17981;"HYDROLYZED OPLOPANAX";"Hydrolyzed Oplopanax Elatus Root Extract is the hydrolysate of an extract of the roots of Oplopanax elatus derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
7606;"HYDROLYZED OPUNTIA";"Hydrolyzed Opuntia Ficus-Indica Flower Extract is the hydrolysate of an extract of the flowers of Opuntia ficus-indica, Cactaceae derived by acid, enzyme or other method of hydrolysis";"";"ABRASIVE, SKIN PROTECTING"
15262;"HYDROLYZED ORYZANOL";"Hydrolyzed Oryzanol is the hydrolysate of Oryzanol derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
18651;"HYDROLYZED OXIDIZED";"Hydrolyzed Oxidized Keratin is the hydrolysate of Oxidized Keratin obtained by acid, enzyme or other method of hydrolysis";"";"HAIR CONDITIONING, SKIN CONDITIONING"
7607;"HYDROLYZED OYSTER";"Hydrolyzed Oyster Extract is an extract of the hydrolysate of oyster (Pinctada martensii) derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
21522;"HYDROLYZED PALM";"Hydrolyzed Palm Sophorolipids is the hydrolysate of the product obtained by through fermentation by Candida bombicola with the fatty acids derived from Elaeis Guineensis (Palm) Oil";"";"SKIN CONDITIONING, SKIN PROTECTING, SURFACTANT"
24107;"HYDROLYZED PANAX";"Hydrolyzed Panax Ginseng Meristem Cell Extract is the hydrolysate of Panax Ginseng Meristem Cell Extract derived by acid, enzyme or other method of hydrolysis.";"";"ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING"
7609;"HYDROLYZED PAPAYA";"Hydrolyzed Papaya Fruit is the hydrolysate of the fruit of Carica papaya derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
7610;"HYDROLYZED PASSIFLORA";"Hydrolyzed Passiflora Alata Fruit is the hydrolysate of the fruit of Passiflora alata, Passifloraceae, derived by acid, enzyme or other method of hydrolysis";"";"ASTRINGENT, SKIN PROTECTING"
1449;"HYDROLYZED PEA";"Hydrolysate of the pea (Pisum sativum) seed";"";"SKIN CONDITIONING"
1450;"HYDROLYZED PEARL";"Hydrolysate of pearl";"";"SKIN CONDITIONING"
15257;"HYDROLYZED PECTIN";"Hydrolyzed Pectin is the hydrolysate of Pectin derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
18873;"HYDROLYZED PEPPER";"Hydrolyzed Pepper Fruit Extract is the hydrolysate of the extract of the pepper, Piper Nigrum, Fruit derived by acid, enzyme or other method of hydrolysis";"";"SKIN PROTECTING"
22167;"HYDROLYZED PERILLA";"Hydrolyzed Perilla Ocymoides Callus Extract is the hydrolysate of an extract of the callus of Perilla ocymoides grown in culture, Lamiaceae.";"";"EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING"
27350;"HYDROLYZED PHAEODACTYLUM";"Hydrolyzed Phaeodactylum Tricornutum Extract is the extract of the hydrolysate of Phaeodactylum tricornutum derived by acid, enzyme or other method of hydrolysis.";"";"SKIN CONDITIONING"
20446;"HYDROLYZED PHOSPHOLIPIDS";"Hydrolyzed Phospholipids is the hydrolysate of Phospholipids derived by acid, enzyme or other method of hydrolysis.";"";"SKIN CONDITIONING"
23726;"HYDROLYZED PHYLLOSTACHYS";"Hydrolyzed Phyllostachys Bambusoides is the hydrolysate of the whole plant, Phyllostachys bambusoides derived by acid, enzyme or other method of hydrolysis, Poaceae.";"";"HUMECTANT, SKIN CONDITIONING"
22169;"CHARCOAL";"Hydrolyzed Phyllostachys Heterocycla/Charcoal/Papain/Boysenberry Fruit Ferment Filtrate is the hydrolysate of a filtrate of the product obtained by the spontaneous fermentation of the whole plant, Phyllostachys heterocycla ; the fruit of the hybrid of Rubus idaeus and Rubus ursinus (boysenberry), charcoal, and papain.";"";"EMOLLIENT, SKIN CONDITIONING"
22169;"PAPAIN";"Hydrolyzed Phyllostachys Heterocycla/Charcoal/Papain/Boysenberry Fruit Ferment Filtrate is the hydrolysate of a filtrate of the product obtained by the spontaneous fermentation of the whole plant, Phyllostachys heterocycla ; the fruit of the hybrid of Rubus idaeus and Rubus ursinus (boysenberry), charcoal, and papain.";"";"EMOLLIENT, SKIN CONDITIONING"
22169;"BOYSENBERRY FRUIT";"Hydrolyzed Phyllostachys Heterocycla/Charcoal/Papain/Boysenberry Fruit Ferment Filtrate is the hydrolysate of a filtrate of the product obtained by the spontaneous fermentation of the whole plant, Phyllostachys heterocycla ; the fruit of the hybrid of Rubus idaeus and Rubus ursinus (boysenberry), charcoal, and papain.";"";"EMOLLIENT, SKIN CONDITIONING"
27023;"HYDROLYZED PIG";"Hydrolyzed Pig Placenta Extract is the extract of the hydrolysate of pig placenta derived by acid, enzyme or other method of hydrolysis.";"";"ANTIOXIDANT"
18874;"HYDROLYZED PINUS";"Hydrolyzed Pinus Densiflora Leaf Extract is the hydrolysate of the extract of the leaves of Pinus densiflora derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
7611;"HYDROLYZED PLACENTAL";"Hydrolyzed Placental Extract is the hydrolysate of swine placental extract derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
7612;"HYDROLYZED PLATANUS";"Hydrolyzed Platanus Occidentalis Extract is the hydrolysate of the extract of the cell walls of the Plane Tree, Platanus occidentalis L., Platanaceae, derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
19285;"HYDROLYZED PLATYCARYA";"Hydrolyzed Platycarya Strobilacea Fruit Extract is the hydrolysate of an extract of the fruit of Platycarya strobilacea derived by acid, enzyme or other method of hydrolys";"";"SKIN CONDITIONING"
19620;"HYDROLYZED PLEUROTUS";"Hydrolyzed Pleurotus Nebrodensis Mycelium Extract is the hydrolysate of an extract of the mycelium of the fungus, Pleurotus nebrodensis derived by acid, enzyme or other method of hydrolysis, Pleurotaceae.";"";"ANTIOXIDANT, SKIN PROTECTING"
23376;"HYDROLYZED PLUKENETIA";"Hydrolyzed Plukenetia Volubilis Seed Extract is the hydrolysate of Plukenetia Volubilis Seed Extract (q.v.) derived by acid, enzyme or other method of hydrolysis, Euphorbiaceae.";"";"EMULSION STABILISING, FILM FORMING, SKIN CONDITIONING"
22267;"HYDROLYZED POLYGONUM";"Hydrolyzed Polygonum Multiflorum Root Extract is the hydrolysate of Polygonum Multiflorum Root Extract derived by acid, enzyme or other method of hydrolysis, Polygonaceae.";"";"SKIN CONDITIONING, SKIN PROTECTING"
16950;"HYDROLYZED PORPHYRA";"Hydrolyzed Porphyra Yezoensis is the hydrolysate of the alga, Porphyra yezoensis derived by acid, enzyme or other method of hydrolysis";"";"HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING"
7613;"HYDROLYZED PROANTHOCYANIDIN";"Hydrolyzed Proanthocyanidin is the hydrolysate of proanthocyanidin derived by acid, enzyme or other method of hydrolysis";"";"ANTIOXIDANT, EMOLLIENT, HUMECTANT"
7614;"HYDROLYZED PRUNE";"Hydrolyzed Prune Seedcake/MDI Copolymer is a copolymer of the hydrolysate of the residue obtained from the expression of the oil from the prune seed, and methylene diphenyl diisocyanate (MDI)";"";"SKIN PROTECTING"
7615;"HYDROLYZED PRUNELLA";"Hydrolyzed Prunella Vulgaris L. Lamiaceae, Extract is the hydrolysate of an extract of the aerial parts of Prunella vulgaris derived by acid, enzyme or other method of hydrolysis";"";"SKIN PROTECTING"
18737;"HYDROLYZED PSORALEA";"Hydrolyzed Psoralea Corylifolia Extract is the hydrolysate of an extract of the whole plant, Psoralea corylifolia derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
22832;"HYDROLYZED PUMPKIN";"Hydrolyzed Pumpkin Seedcake is the hydrolysate of the seedcake obtained from Cucurbita pepo derived by acid, enzyme or other method of hydrolysis.";"";"SKIN PROTECTING"
26948;"HYDROLYZED PUNICA";"Hydrolyzed Punica Granatum Fruit Extract is the extract of the hydrolysate of Punica granatum fruit derived by acid, enzyme or other method of hydrolysis.";"";"ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING"
21593;"HYDROLYZED PYRUS";"Hydrolyzed Pyrus Malus (Apple) Pectin Extract is the hydrolysate of Pyrus Malus (Apple) Pectin Extract derived by acid, enzyme or other method of hydrolysis, Rosaceae.";"";"SKIN CONDITIONING"
1452;"HYDROLYZED QUINOA";"Quinoa seed, Chenopodium quinoa, hydrolyzed";"";"SKIN CONDITIONING"
7616;"HYDROLYZED RASPBERRY";"Hydrolyzed Raspberry Fruit is the hydrolysate of the fruit of Rubus idaeus derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
16397;"HYDROLYZED RED";"Hydrolyzed Red Blood Cells is the hydrolysate of red blood cells derived by acid, enzyme or other method of hydrolysis; Erythrocytes, hydrolyzed";"";"SKIN CONDITIONING"
12197;"HYDROLYZED RETICULIN";"Protein hydrolyzates, reticulin. Substance obtained by hydrolysis of reticulin, composed primarily of proteins, peptides and amino acids";"";"HAIR CONDITIONING, SKIN CONDITIONING"
7617;"HYDROLYZED RHEUM";"Hydrolyzed Rheum Officinale Root Extract is the hydrolysate of an extract of the roots of Rhubarb, Rheum officinale, Polygonaceae, derived by acid, enzyme or other method of hydrolysis";"";"SKIN PROTECTING"
17318;"HYDROLYZED RHIZOBIAN";"Hydrolyzed Rhizobian Gum is the hydrolysate of Rhizobian Gum derived by acid, enzyme or other method of hydrolysis";"";"FILM FORMING"
22693;"HYDROLYZED RHODOPHYCEAE";"Hydrolyzed Rhodophyceae Extract is the hydrolysate of an extract of the alga, Rhodophyceae , derived by acid, enzyme or other method of hydrolysis";"";"NOT REPORTED"
7618;"HYDROLYZED RICE";"Hydrolyzed Rice Bran Extract is the hydrolysate of Oryza Sativa (Rice) Bran Extract derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
12200;"HYDROLYZED RNA";"Ribonucleic acid, hydrolyzed";"";"HAIR CONDITIONING, SKIN CONDITIONING"
12201;"HYDROLYZED ROE";"Eggs, fish, hydrolyzed";"";"SKIN CONDITIONING"
25521;"HYDROLYZED ROSA";"Hydrolyzed Rosa Damascena Flower Extract is the hydrolysate of Rosa Damascena (Rosaceae) Flower Extract derived by acid, enzyme or other method of hydrolysis.";"";"ANTIOXIDANT"
15324;"HYDROLYZED ROYAL";"Hydrolyzed Royal Jelly Extract is the hydrolysate of Royal Jelly Extract derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
20936;"HYDROLYZED RUMEX";"Hydrolyzed Rumex Crispus Root Extract is the hydrolysate of Rumex Crispus Root Extract derived by acid, enzyme or other method of hydrolysis";"";"ANTIMICROBIAL"
7621;"HYDROLYZED RYE";"Hydrolyzed Rye Phytoplacenta Extract is the hydrolysate of an extract of secale cereale seed placenta derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
26588;"HYDROLYZED SACCHAROMYCES";"Hydrolyzed Saccharomyces Extract is the hydrolysate of an extract of Saccharomyces derived by acid, enzyme or other method of hydrolysis.";"";"NOT REPORTED"
15376;"UBIQUINONE FERMENT";"Hydrolyzed Saccharomyces/Lactobacillus/Ubiquinone Ferment is the hydrolysate of the fermentation product of Ubiquinone by the microorganisms, Lactobacillus and Saccharomyces";"";"REDUCING, SKIN CONDITIONING, SKIN PROTECTING"
19938;"HYDROLYZED SAFFLOWER";"Hydrolyzed Safflower Flower Extract is the hydrolysate of Carthamus Tinctorius (Safflower) Flower Extract derived by acid, enzyme or other method of hydrolysis.";"";"SKIN CONDITIONING"
22865;"HYDROLYZED SALMON";"Hydrolyzed Salmon Ovary Extract is the hydrolysate of the extract of salmon ovaries obtained by acid, enzyme or other method of hydrolysis.";"";"EMOLLIENT, SKIN CONDITIONING"
7622;"HYDROLYZED SASA";"Hydrolyzed Sasa Veitchii Extract is the hydrolysate of Sasa veitchii, Poaceae, extract derived by acid, enzyme or other method of hydrolysis";"";"ANTIMICROBIAL, DEODORANT"
21745;"HYDROLYZED SCHIZOSACCHAROMYCES";"Hydrolyzed Schizosaccharomyces Protein is the hydrolysate of the protein derived from Schizosaccharomyces derived by acid, enzyme or other method of hydrolysis.";"";"SKIN CONDITIONING"
15422;"HYDROLYZED SCLEROTIUM";"Hydrolyzed Sclerotium Gum is the hydrolysate of Sclerotium Gum derived by acid, enzyme or other method of hydrolysis";"";"FILM FORMING, HUMECTANT, SKIN PROTECTING"
7623;"HYDROLYZED SERICIN";"Protein hydrolyzates, sericin";"";"HAIR CONDITIONING, SKIN CONDITIONING"
12202;"HYDROLYZED SERUM";"Hydrolyzed Serum Protein is a hydrolysate of Serum Protein derived by acid, enzyme or other method of hydrolysis";"";"ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING"
7624;"HYDROLYZED SESAME";"Hydrolyzed Sesame Extract is the hydrolysate of the Sesame, Sesamum Indicum, Extract derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
7627;"HYDROLYZED SHEA";"Hydrolyzed Shea Seedcake Extract is an extract of the hydrolysate of shea seedcake derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
1453;"HYDROLYZED SILK";"Protein hydrolyzates, silk";"";"ANTISTATIC, HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING"
7630;"HYDROLYZED SISYMBRIUM";"Hydrolyzed Sisymbrium Irio Seedcake is a hydrolysate of the seedcake obtained from Sisymbrium irio derived by acid, enzyme or other method of hydrolysis";"";"SKIN PROTECTING"
21361;"HYDROLYZED SNAIL";"Hydrolyzed Snail Body Extract is the hydrolysate of Snail Extract derived by acid, enzyme or other method of hydrolysis.";"";"SKIN CONDITIONING, SKIN PROTECTING"
20635;"HYDROLYZED SODIUM";"Hydrolyzed Sodium Chondroitin Sulfate is the hydrolysate of Sodium Chondroitin Sulfate derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
17292;"HYDROLYZED SOPHORA";"Hydrolyzed Sophora Japonica Fruit Extract is the hydrolysate of Sophora Japonica Fruit Extract derived by acid, enzyme or other method of hydrolysis";"";"ANTIOXIDANT"
1454;"HYDROLYZED SOY";"Soy seed, Glycine soja, hydrolyzed";"";"SKIN CONDITIONING"
7635;"VEGETABLE AMINO";"Hydrolyzed Soy Protein/Vegetable Amino Acids/Lysine Hydroxypropyltrimonium Chloride is the hydroxypropyl trimethylammonium derivative of Hydrolyzed Soy Protein, Corn Amino Acids, Soy Amino Acids, Potato Amino Acids, Rice Amino Acids and Lysine";"";"HAIR CONDITIONING, SKIN CONDITIONING"
22168;"HYDROLYZED SOYBEAN";"Hydrolyzed Soybean Callus Extract is the hydrolysate of an extract of the callus of the soybean, Glycine max grown in culture.";"";"BLEACHING, EMOLLIENT, SKIN CONDITIONING"
7637;"HYDROLYZED SOYMILK";"Hydrolyzed Soymilk Protein is a hydrolysate of the proteins obtained from Soymilk derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
23873;"HYDROLYZED SPIDER";"Hydrolyzed Spider Web is the hydrolysate of spider webs derived by acid, enzyme or other method of hydrolysis.";"";"SKIN CONDITIONING"
12204;"HYDROLYZED SPINAL";"Protein hydrolyzates, spinal cord. Substance obtained by acidic, alkaline, or enzymatic hydrolysis of spinal cord composed primarily of amino acids, peptides, and proteins. It may contain impurities consisting chiefly of carbohydrates and lipids along with smaller quantities of miscellaneous organic substances of biological origin";"";"ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING"
7638;"HYDROLYZED SPONGE";"Hydrolyzed Sponge is the hydrolysate of sponge obtained by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
19733;"HYDROLYZED SPONGIN";"Hydrolyzed Spongin is the hydrolysate of spongin derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
18533;"HYDROLYZED STARCH";"O-alpha-D-glucopyranosyl-(1->4)-O-alpha-D-glucopyranosyl-(1->4)-O-alpha-D-glucopyranosyl-(1->4)-D-glucose";"";"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING"
7639;"HYDROLYZED STARFISH";"Hydrolyzed Starfish Extract is a hydrolysate of starfish extract obtained by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
7711;"HYDROLYZED STRAWBERRY";"Hydrolyzed Strawberry Fruit is the hydrolysate of the fruit of Fragaria vesca L., derived by acid, enzyme or other method of hydrolysis";"";"ASTRINGENT, SKIN PROTECTING"
26991;"HYDROLYZED STURGEON";"Hydrolyzed Sturgeon Cartilage Extract is the extract of the hydrolysate of sturgeon cartilage derived by acid, enzyme or other method of hydrolysis.";"";"SKIN CONDITIONING, SKIN PROTECTING"
18525;"HYDROLYZED SULFONATED";"Hydrolyzed Sulfonated Keratin is the hydrolysate of Sulfonated Wool derived by acid, enzyme or other method of hydrolysis";"";"EMOLLIENT, HAIR CONDITIONING, HUMECTANT"
26868;"HYDROLYZED SUNFLOWER";"Hydrolyzed Sunflower Callus Culture Lysate Filtrate is a filtrate of the hydrolysate of a suspension of the lysed cells derived from the callus of Helianthus annuus, Asteraceae, grown in culture.";"";"ANTIOXIDANT, HUMECTANT, SKIN CONDITIONING"
12236;"HYDROLYZED SWEET";"Hydrolyzed Sweet Almond Protein is the hydrolysate of sweet almond protein derived by acid, enzyme or other method of hydrolysis of Prunu Amugdalus Dulcis protein, peptides and amino acids";"";"ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING"
17488;"HYDROLYZED SWIFTLET";"Hydrolyzed Swiftlet Nest is the hydrolysate of the nest of the swiftlet, Collocalia esculenta , Collocalia vestira , or Collocalia inexpectra , derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
24978;"HYDROLYZED SYZYGIUM";"Hydrolyzed Syzygium Samarangense Fruit Extract is the hydrolysate of an extract of the fruit of Syzygium samarangense (Myrtaceae) derived by acid, enzyme or other method of hydrolysis.";"";"ANTIOXIDANT, SKIN CONDITIONING"
20930;"HYDROLYZED TABEBUIA";"Hydrolyzed Tabebuia Impetiginosa Leaf Extract is the hydrolysate of Tabebuia Impetiginosa Leaf Extract derived by acid, enzyme or other method of hydrolysis, Bignoniaceae.";"";"ANTIMICROBIAL"
7713;"HYDROLYZED TAMARINDUS";"Hydrolyzed Tamarindus Indica Seed Extract is the hydrolysate of the Tamarind, Tamarindus indica L., Leguminosae, Seed Extract derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
26482;"HYDROLYZED TARAXACUM";"Hydrolyzed Taraxacum Sinicum Extract is the hydrolysate of an extract of Taraxacum sinicum, Asteraceae, derived by acid, enzyme or other method of hydrolysis.";"";"SKIN CONDITIONING"
23168;"HYDROLYZED THEOBROMA";"Hydrolyzed Theobroma Cacao (Cocoa) Seed Butter is the hydrolysate of Theobroma Cacao (Cocoa) Seed Butter derived by acid, enzyme or other method of hydrolysis, Malvaceae.";"";"CLEANSING, EMOLLIENT, FOAM BOOSTING, SKIN CONDITIONING, SURFACTANT"
22955;"HYDROLYZED THUJA";"Hydrolyzed Thuja Orientalis Seed Extract is the hydrolysate of an extract of the seeds of Thuja orientalis derived by acid, enzyme or other method of hydrolysis, Cupressaceae.";"";"BLEACHING, EMOLLIENT, SKIN CONDITIONING"
7715;"HYDROLYZED THYMUS";"Protein hydrolyzates, thymus gland, extract";"";"SKIN CONDITIONING"
18876;"HYDROLYZED TIGER";"Hydrolyzed Tiger Prawn Extract is the hydrolysate of an extract of the tiger prawn, Penaeus japonicus derived by acid, enzyme or other method of hydrolysis";"";"EMOLLIENT"
17767;"HYDROLYZED TOMATO";"Hydrolyzed Tomato Skin is the hydrolysate of the skins of Solanum lycopersicum derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
20569;"HYDROLYZED TORULASPORA";"Hydrolyzed Torulaspora Delbruekii Extract is the hydrolysate of an extract of Torulaspora delbruekii derived by acid, enzyme or other method of hydrolysis, Sacharomycetaceae.";"";"SKIN PROTECTING"
19037;"HYDROLYZED TREMELLA";"Hydrolyzed Tremella Fuciformis Polysaccharide is the hydrolysate of Tremella Fuciformis Polysaccharide derived by acid, enzyme or other method of hydrolysis, Tremellaceae.";"";"EMOLLIENT, HUMECTANT"
17549;"HYDROLYZED TRIGONELLA";"Hydrolyzed Trigonella Foenum-Graecum Seed Extract is the hydrolysate of Trigonella Foenum-Graecum Seed Extract derived by acid, enzyme or other method of hydrolysis";"";"FILM FORMING, HUMECTANT, SKIN CONDITIONING"
18757;"HYDROLYZED TRITICUM";"Hydrolyzed Triticum Monococcum Seed Extract is the hydrolysate of an extract of the seeds of Triticum monococcum derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
16107;"HYDROLYZED TYPHA";"Hydrolyzed Typha Angustifolia Pollen/Root Extract is the extract of the hydrolysate of the pollen and roots of Typha angustifolia obtained by acid, enzyme or other method of hydrolysis";"";"ANTIOXIDANT, EMOLLIENT, SKIN PROTECTING"
7716;"HYDROLYZED ULVA";"Hydrolyzed Ulva Lactuca Extract is the hydrolysate of Ulva Lactuca Extract derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
21899;"HYDROLYZED UMBILICAL";"Hydrolyzed Umbilical Extract is the hydrolysate of Umbilical Extract (animal) derived by acid, enzyme or other method of hydrolysis.";"";"SKIN CONDITIONING"
20279;"HYDROLYZED VA";"Hydrolyzed VA/Vinyl Acetoacetate Copolymer is a copolymer of vinyl acetoacetate and partially hydrolyzed vinyl acetate.";"";"BINDING, EMULSIFYING, FILM FORMING, NAIL CONDITIONING"
20279;"VINYL ACETOACETATE";"Hydrolyzed VA/Vinyl Acetoacetate Copolymer is a copolymer of vinyl acetoacetate and partially hydrolyzed vinyl acetate.";"";"BINDING, EMULSIFYING, FILM FORMING, NAIL CONDITIONING"
22545;"HYDROLYZED VACCINIUM";"Hydrolyzed Vaccinium Myrtillus Leaf Extract is the hydrolysate of Vaccinium Myrtillus Leaf Extract derived by acid, enzyme, or other method of hydrolysis, Ericaceae.";"";"SKIN PROTECTING"
12237;"HYDROLYZED VEGETABLE";"Protein hydrolyzates, vegetable. Substance obtained by acidic, alkaline, or enzymatic hydrolysis of mixed vegetables composed primarily of amino acids, peptides, and proteins. It may contain impurities consisting chiefly of carbohydrates and lipids along with smaller quantities of miscellaneous organic substances of biological origin";"";"ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING"
21673;"HYDROLYZED VERBASCUM";"Hydrolyzed Verbascum Thapsus Flower is the hydrolysate of the flowers of Verbascum thapsus derived by acid, enzyme, or other method of hydrolysis, Scrophulariaceae.";"";"ANTIOXIDANT, SKIN PROTECTING"
7718;"HYDROLYZED VIOLA";"Hydrolyzed Viola Tricolor Extract is the hydrolysate of an extract of the Pansy, Viola tricolor L., Violaceae, derived by acid, enzyme or other method of hydrolysis";"";"SKIN PROTECTING"
20495;"HYDROLYZED VITIS";"Hydrolyzed Vitis Labrusca Skin Extract is the extract of the hydrolysate of the skin of Vitis labrusca derived by acid, enzyme or other method of hydrolysis.";"";"EMOLLIENT, SKIN CONDITIONING"
18441;"HYDROLYZED WALNUT";"Hydrolyzed Walnut Extract is the hydrolysate of Juglans Regia (Walnut) Extract (q.v.) derived by acid, enzyme or other method of hydrolysis";"";"ANTIOXIDANT, ASTRINGENT, HAIR CONDITIONING, SKIN CONDITIONING"
1456;"PEG-20 ACETATE";"Protein hydrolyzates, wheat, reaction products with polyethylene glycol bis(chloroacetate) (20 mol EO average molar ratio)";"";"HAIR CONDITIONING"
7725;"PVP CROSSPOLYMER";"Protein hydrolyzates, wheat, crosspolymer with 2-pyrrolidinone, 1-ethenyl-.";"";"FILM FORMING, HAIR CONDITIONING, HAIR FIXING"
24938;"HYDROLYZED WHEY";"Hydrolyzed Whey is the hydrolysate of Whey derived by acid, enzyme or other method of hydrolysis.";"";"EMOLLIENT, SKIN CONDITIONING"
20610;"HYDROLYZED WINTERGREEN";"Hydrolyzed Wintergreen Extract is the hydrolysate of an extract of the whole plant, Gaultheria procumbens derived by acid, enzyme or other method of hydrolysis.";"";"SKIN CONDITIONING"
7726;"HYDROLYZED WOOL";"Hydrolyzed Wool is a hydrolysate of the wool derived by acid, enzyme or other method of hydrolysis";"";"HAIR CONDITIONING, HUMECTANT, SKIN PROTECTING"
19623;"HYDROLYZED XANTHOMONAS";"Hydrolyzed Xanthomonas Campestris Polysaccharide is the product obtained by the hydrolysis (acid, enzyme or other method) of the polysaccharide fraction produced by the fermentation of Xanthomonas campestris, Xanthomonadaceae.";"";"BLEACHING"
7727;"HYDROLYZED XYLAN";"Hydrolyzed Xylan is the hydrolysate of cotton bran derived by acid, enzyme or other method of hydrolysis";"";"SKIN CONDITIONING"
12240;"HYDROLYZED YEAST";"Yeast, hydrolyzates";"";"HAIR CONDITIONING, SKIN CONDITIONING"
15352;"HYDROLYZED YOGURT";"Hydrolyzed Yogurt is the hydrolysate of Yogurt derived by acid, enzyme or other method of hydrolysis";"";"HAIR CONDITIONING"
19134;"HYDROLYZED ZANTHOXYLUM";"Hydrolyzed Zanthoxylum Piperitum Seed Extract is the hydrolysate of an extract of the seeds of Zanthoxylum piperitum derived by acid, enzyme or other method of hydrolysis, Rutaceae";"";"SKIN CONDITIONING"
12242;"HYDROLYZED ZEIN";"Protein hydrolyzates, zeins";"";"ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING"
19515;"HYDROPUNTIA EDULIS";"Hydropuntia Edulis Callus Culture Extract is the extract of a culture of the callus of Hydropuntia edulis.";"";"SKIN CONDITIONING"
 ;"HYDROQUINONE";"Hydroquinone";"II/1339 III/14";"STABILISING"
27394;"HYDROXY METHYLOCTYLPHENOL";"Hydroxyisononyl Phenol";"";"SKIN CONDITIONING, SKIN PROTECTING"
17373;"HYDROXY METHYLPHENYLPYRIDINONE";"";"";"SKIN CONDITIONING"
22824;"HYDROXY OXOBENZOXATHIOL";"See ""Regulatory and Ingredient Use Information"" regarding use of Japan Trivial names in Volume 1, Introduction, Part A, No. 12";"";"ASTRINGENT"
